,0,1
0,Ximing Cai,D. Blaine Moore
1,Ximing Cai,Francesco Laio
2,Ximing Cai,Yong Tian
3,Ximing Cai,Ruijie Zeng
4,Ximing Cai,Jonathan L. Goodall
5,Ximing Cai,Sarah B. Kapnick
6,Ximing Cai,Ting Ma
7,Ximing Cai,William K. Jaeger
8,Ximing Cai,K. J. McGuire
9,Ximing Cai,Erich T. Hester
10,Ximing Cai,Casey Brown
11,Ximing Cai,Kevin He
12,Ximing Cai,S. B. Kapnick
13,Ximing Cai,Qiao Xiao
14,Ximing Cai,Juraj Parajka
15,Ximing Cai,Haishun Yang
16,Ximing Cai,Geng Niu
17,Ximing Cai,Liangsheng Shi
18,Ximing Cai,B. E. Ewers
19,Ximing Cai,Xiaoming Chen
20,Ximing Cai,Johan Alexander Huisman
21,Ximing Cai,John Bolten
22,Ximing Cai,Jay R. Lund
23,Ximing Cai,Nicholas Howden
24,Ximing Cai,Julien Harou
25,Ximing Cai,Jennifer C. McIntosh
26,Ximing Cai,Anne Erson
27,Ximing Cai,Tushar Apurv
28,Ximing Cai,Michael Brett
29,Ximing Cai,Chuncheng Yao
30,Ximing Cai,Newsha Ajami
31,Ximing Cai,Felipe De Barros
32,Ximing Cai,Jun Wang
33,Ximing Cai,Pan Yang
34,Ximing Cai,Martyn P. Clark
35,Ximing Cai,Dieter Rickenmann
36,Ximing Cai,Kevin C. Rose
37,Ximing Cai,Yunying Li
38,Ximing Cai,Erhu Du
39,Ximing Cai,Teamrat A. Ghezzehei
40,Ximing Cai,Erin M.K. Haacker
41,Ximing Cai,Lorena Castro García
42,Ximing Cai,Christine Hatch
43,Ximing Cai,Pan Liu
44,Ximing Cai,Diogo Bolster
45,Ximing Cai,James J. Butler
46,Ximing Cai,Emily Bernhardt
47,Ximing Cai,Andrea Castelletti
48,Ximing Cai,Zhihao Xu
49,Ximing Cai,Felipe P. J. de Barros
50,Ximing Cai,Christopher J. Keylock
51,Ximing Cai,Markus Hrachowitz
52,Ximing Cai,Nick Rutter
53,Ximing Cai,Miriam Coenders‐Gerrits
54,Ximing Cai,Daniel Méndez Fernández
55,Ximing Cai,Qiuhong Tang
56,Ximing Cai,Han‐Zhong Feng
57,Ximing Cai,Siao Sun
58,Ximing Cai,Rafael Rosolem
59,Ximing Cai,Tze Ling Ng
60,Ximing Cai,Jan Martin Nordbotten
61,Ximing Cai,Yi Yang
62,Ximing Cai,Claudio Paniconi
63,Ximing Cai,Holly Barnard
64,Ximing Cai,Kewei Chen
65,Ximing Cai,Manuela Girotto
66,Ximing Cai,Anton Kruger
67,Ximing Cai,Luis Samaniego
68,Ximing Cai,Kyungrock Paik
69,Ximing Cai,Francesco Comiti
70,Ximing Cai,Kevin Rose
71,Ximing Cai,Christopher S. Lowry
72,Ximing Cai,Petra Döll
73,Ximing Cai,Dubravka Pokrajac
74,Ximing Cai,Valentijn R. N. Pauwels
75,Ximing Cai,Mònica Riva
76,Ximing Cai,D. M. O'Carroll
77,Ximing Cai,Haixiang Qin
78,Ximing Cai,Zhongwei Huang
79,Ximing Cai,Zhongfu Yang
80,Ximing Cai,Simone Fatichi
81,Ximing Cai,Lawrence C. Murdoch
82,Ximing Cai,Megan Konar
83,Ximing Cai,Yu Liu
84,Ximing Cai,Kevin J. McGuire
85,Ximing Cai,Tom Gleeson
86,Ximing Cai,Patrick M. Reed
87,Ximing Cai,Li Yu
88,Ximing Cai,Holly A. Michael
89,Ximing Cai,Juraj Párajka
90,Ximing Cai,Chuanglin Fang
91,Ximing Cai,Attilio Castellarin
92,Ximing Cai,Olaf A. Cirpka
93,Ximing Cai,Eleonora Demaria
94,Ximing Cai,Juliane Mai
95,Ximing Cai,Jennifer L. Druhan
96,Ximing Cai,S. A. Papuga
97,Ximing Cai,Alberto Guadagnini
98,Ximing Cai,Chi Zhang
99,Ximing Cai,Dan H. Moore
100,Ximing Cai,Ciaran Harman
101,Ximing Cai,Zoran Kapelan
102,Ximing Cai,Stacey Archfi
103,Ximing Cai,Michael Cardiff
104,Ximing Cai,Martyn Clark
105,Ximing Cai,Di Long
106,Ximing Cai,David E. Rupp
107,Ximing Cai,G. Liu
108,Ximing Cai,Denis O'carroll
109,Ximing Cai,Xin Li
110,Ximing Cai,Manuel Pulido-Velázquez
111,Ximing Cai,Marc Jeuland
112,Ximing Cai,Benjamin Renard
113,Ximing Cai,Liang Xu
114,Ximing Cai,Hamid Moradkhani
115,Ximing Cai,Daniel Fernández
116,Ximing Cai,Amin Elshorbagy
117,Ximing Cai,Andreas Langousis
118,Ximing Cai,Tobias Jonas
119,Ximing Cai,Patricia Saco
120,Ximing Cai,Anthony Amori
121,Ximing Cai,Li Li
122,Ximing Cai,Gabriëlle De Lannoy
123,Ximing Cai,Wei Ding
124,Ximing Cai,R. L. Detwiler
125,Ximing Cai,Bridget R. Scanlon
126,Ximing Cai,Sudeep Chandra
127,Ximing Cai,Fulvio Boano
128,Ximing Cai,Guo Yue Niu
129,Ximing Cai,Mário J. Franca
130,Ximing Cai,Markus Hilpert
131,Ximing Cai,Andrew Binley
132,Ximing Cai,Yanpeng Cai
133,Ximing Cai,Xu Li
134,Ximing Cai,Balaji Rajagopalan
135,Ximing Cai,Mengchen Zhao
136,Ximing Cai,Kevin Wallington
137,Ximing Cai,Riccardo Rigon
138,Ximing Cai,Sergi Molins
139,Ximing Cai,Kumud Acharya
140,Ximing Cai,Audrey H. Sawyer
141,Ximing Cai,Qiankun Zhao
142,Ximing Cai,Stefano Orlandini
143,Ximing Cai,Xiangli Zeng
144,Ximing Cai,Jennifer McIntosh
145,Ximing Cai,Erkan Istanbulluoglu
146,Ximing Cai,Yi Zheng
147,Ximing Cai,Francesco Serinaldi
148,Ximing Cai,Maoyuan Feng
149,Ximing Cai,Jonathan Gourley
150,Ximing Cai,Bart Nijssen
151,Ximing Cai,Alaa Jamal
152,Ximing Cai,Catherine Heppell
153,Ximing Cai,Laura Read
154,Ximing Cai,Alberto Bellin
155,Ximing Cai,Christophe Ancey
156,Ximing Cai,Jonathan J. Gourley
157,Ximing Cai,Christopher A. Lowry
158,Holly A. Michael,D. Blaine Moore
159,Holly A. Michael,Francesco Laio
160,Holly A. Michael,Julia A. Cantelon
161,Holly A. Michael,Jonathan L. Goodall
162,Holly A. Michael,Barret L. Kurylyk
163,Holly A. Michael,Sarah B. Kapnick
164,Holly A. Michael,Angelia L. Seyfferth
165,Holly A. Michael,Paola Passalacqua
166,Holly A. Michael,William K. Jaeger
167,Holly A. Michael,K. J. McGuire
168,Holly A. Michael,Erich T. Hester
169,Holly A. Michael,Casey Brown
170,Holly A. Michael,Kyra H. Kim
171,Holly A. Michael,S. B. Kapnick
172,Holly A. Michael,Juraj Parajka
173,Holly A. Michael,B. E. Ewers
174,Holly A. Michael,Johan Alexander Huisman
175,Holly A. Michael,Michel C. Boufadel
176,Holly A. Michael,John Bolten
177,Holly A. Michael,Nicholas Howden
178,Holly A. Michael,Julien Harou
179,Holly A. Michael,Alicia M. Wilson
180,Holly A. Michael,Jennifer C. McIntosh
181,Holly A. Michael,Anne Erson
182,Holly A. Michael,Michael Brett
183,Holly A. Michael,Zhongyuan Liu
184,Holly A. Michael,Newsha Ajami
185,Holly A. Michael,Felipe De Barros
186,Holly A. Michael,Martyn P. Clark
187,Holly A. Michael,Dieter Rickenmann
188,Holly A. Michael,Yuan Pan
189,Holly A. Michael,Kevin C. Rose
190,Holly A. Michael,Hailong Li
191,Holly A. Michael,Zhongyuan Xu
192,Holly A. Michael,Teamrat A. Ghezzehei
193,Holly A. Michael,Christine Hatch
194,Holly A. Michael,Diogo Bolster
195,Holly A. Michael,Carlos Duque
196,Holly A. Michael,James J. Butler
197,Holly A. Michael,Emily Bernhardt
198,Holly A. Michael,Andrea Castelletti
199,Holly A. Michael,Felipe P. J. de Barros
200,Holly A. Michael,Christopher J. Keylock
201,Holly A. Michael,Markus Hrachowitz
202,Holly A. Michael,Nick Rutter
203,Holly A. Michael,Miriam Coenders‐Gerrits
204,Holly A. Michael,Daniel Méndez Fernández
205,Holly A. Michael,Steve Stanic
206,Holly A. Michael,Nicole K. LeRoux
207,Holly A. Michael,Xuejing Wang
208,Holly A. Michael,Rafael Rosolem
209,Holly A. Michael,Jan Martin Nordbotten
210,Holly A. Michael,Claudio Paniconi
211,Holly A. Michael,Holly Barnard
212,Holly A. Michael,Kai Xiao
213,Holly A. Michael,Erik M. Smith
214,Holly A. Michael,Manuela Girotto
215,Holly A. Michael,Anton Kruger
216,Holly A. Michael,Luis Samaniego
217,Holly A. Michael,Kent D. Messer
218,Holly A. Michael,Elisabeth Steel
219,Holly A. Michael,Austin J. Chadwick
220,Holly A. Michael,Kyungrock Paik
221,Holly A. Michael,Christophe Ancey
222,Holly A. Michael,Francesco Comiti
223,Holly A. Michael,Kevin Rose
224,Holly A. Michael,Christopher S. Lowry
225,Holly A. Michael,Petra Döll
226,Holly A. Michael,Dubravka Pokrajac
227,Holly A. Michael,Valentijn R. N. Pauwels
228,Holly A. Michael,Mònica Riva
229,Holly A. Michael,D. M. O'Carroll
230,Holly A. Michael,Simone Fatichi
231,Holly A. Michael,Lawrence C. Murdoch
232,Holly A. Michael,Kevin J. McGuire
233,Holly A. Michael,Patrick M. Reed
234,Holly A. Michael,Yuqiang Xia
235,Holly A. Michael,Joshua M. Duke
236,Holly A. Michael,C. E. Robinson
237,Holly A. Michael,Juraj Párajka
238,Holly A. Michael,Attilio Castellarin
239,Holly A. Michael,Olaf A. Cirpka
240,Holly A. Michael,Eleonora Demaria
241,Holly A. Michael,Juliane Mai
242,Holly A. Michael,Jennifer L. Druhan
243,Holly A. Michael,S. A. Papuga
244,Holly A. Michael,Alberto Guadagnini
245,Holly A. Michael,Dan H. Moore
246,Holly A. Michael,Ciaran Harman
247,Holly A. Michael,Zoran Kapelan
248,Holly A. Michael,Stacey Archfi
249,Holly A. Michael,Jayaram Hariharan
250,Holly A. Michael,Michael Cardiff
251,Holly A. Michael,Martyn Clark
252,Holly A. Michael,Di Long
253,Holly A. Michael,David E. Rupp
254,Holly A. Michael,G. Liu
255,Holly A. Michael,Denis O'carroll
256,Holly A. Michael,Manuel Pulido-Velázquez
257,Holly A. Michael,Marc Jeuland
258,Holly A. Michael,Benjamin Renard
259,Holly A. Michael,Liang Xu
260,Holly A. Michael,Hamid Moradkhani
261,Holly A. Michael,Daniel Fernández
262,Holly A. Michael,Amin Elshorbagy
263,Holly A. Michael,Andreas Langousis
264,Holly A. Michael,Tobias Jonas
265,Holly A. Michael,Aaron A. Mohammed
266,Holly A. Michael,Patricia Saco
267,Holly A. Michael,Anner Paldor
268,Holly A. Michael,Li Li
269,Holly A. Michael,Gabriëlle De Lannoy
270,Holly A. Michael,Kenneth Lee
271,Holly A. Michael,R. L. Detwiler
272,Holly A. Michael,Bridget R. Scanlon
273,Holly A. Michael,Sudeep Chandra
274,Holly A. Michael,Fulvio Boano
275,Holly A. Michael,Guo Yue Niu
276,Holly A. Michael,Julia Guimond
277,Holly A. Michael,Mário J. Franca
278,Holly A. Michael,Xuan Yu
279,Holly A. Michael,Andrew Binley
280,Holly A. Michael,Markus Hilpert
281,Holly A. Michael,Xu Li
282,Holly A. Michael,Balaji Rajagopalan
283,Holly A. Michael,Jordan F. Suter
284,Holly A. Michael,Riccardo Rigon
285,Holly A. Michael,Jinzhong Yang
286,Holly A. Michael,Kumud Acharya
287,Holly A. Michael,Sergi Molins
288,Holly A. Michael,Audrey H. Sawyer
289,Holly A. Michael,Stefano Orlandini
290,Holly A. Michael,Jennifer McIntosh
291,Holly A. Michael,Erkan Istanbulluoglu
292,Holly A. Michael,Francesco Serinaldi
293,Holly A. Michael,Jonathan Gourley
294,Holly A. Michael,James W. Heiss
295,Holly A. Michael,Bart Nijssen
296,Holly A. Michael,Catherine Heppell
297,Holly A. Michael,Xiaolong Geng
298,Holly A. Michael,Laura Read
299,Holly A. Michael,Alberto Bellin
300,Holly A. Michael,Kevin He
301,Holly A. Michael,Jonathan J. Gourley
302,Holly A. Michael,Christopher A. Lowry
303,Holly A. Michael,Chris Paola
304,Patrick M. Reed,D. Blaine Moore
305,Patrick M. Reed,Francesco Laio
306,Patrick M. Reed,Jonathan L. Goodall
307,Patrick M. Reed,Sarah B. Kapnick
308,Patrick M. Reed,Christopher A. Lowry
309,Patrick M. Reed,William K. Jaeger
310,Patrick M. Reed,K. J. McGuire
311,Patrick M. Reed,Erich T. Hester
312,Patrick M. Reed,Casey Brown
313,Patrick M. Reed,S. B. Kapnick
314,Patrick M. Reed,Juraj Parajka
315,Patrick M. Reed,B. E. Ewers
316,Patrick M. Reed,Johan Alexander Huisman
317,Patrick M. Reed,John Bolten
318,Patrick M. Reed,Nicholas Howden
319,Patrick M. Reed,Julien Harou
320,Patrick M. Reed,Jennifer C. McIntosh
321,Patrick M. Reed,Anne Erson
322,Patrick M. Reed,Michael Brett
323,Patrick M. Reed,Lawrence E. Band
324,Patrick M. Reed,Newsha Ajami
325,Patrick M. Reed,Felipe De Barros
326,Patrick M. Reed,Martyn P. Clark
327,Patrick M. Reed,Federica Bertoni
328,Patrick M. Reed,Dieter Rickenmann
329,Patrick M. Reed,Kevin C. Rose
330,Patrick M. Reed,Keyvan Malek
331,Patrick M. Reed,Teamrat A. Ghezzehei
332,Patrick M. Reed,Christine Hatch
333,Patrick M. Reed,Diogo Bolster
334,Patrick M. Reed,John W. Coulston
335,Patrick M. Reed,Emily Bernhardt
336,Patrick M. Reed,James J. Butler
337,Patrick M. Reed,Andrea Castelletti
338,Patrick M. Reed,Felipe P. J. de Barros
339,Patrick M. Reed,Lillian Bei Jia Lau
340,Patrick M. Reed,Christopher J. Keylock
341,Patrick M. Reed,Markus Hrachowitz
342,Patrick M. Reed,Nick Rutter
343,Patrick M. Reed,Miriam Coenders‐Gerrits
344,Patrick M. Reed,Daniel Méndez Fernández
345,Patrick M. Reed,Laurence Lin
346,Patrick M. Reed,Rafael Rosolem
347,Patrick M. Reed,Jan Martin Nordbotten
348,Patrick M. Reed,David Gorelick
349,Patrick M. Reed,Claudio Paniconi
350,Patrick M. Reed,Holly Barnard
351,Patrick M. Reed,Manuela Girotto
352,Patrick M. Reed,Y. Kim
353,Patrick M. Reed,Anton Kruger
354,Patrick M. Reed,Luis Samaniego
355,Patrick M. Reed,David V. Gold
356,Patrick M. Reed,Kyungrock Paik
357,Patrick M. Reed,Christophe Ancey
358,Patrick M. Reed,Francesco Comiti
359,Patrick M. Reed,Kevin Rose
