,0
0,https://openalex.org/W2946882019
1,https://openalex.org/W2944607176
2,https://openalex.org/W2998268303
3,"https://openalex.org/W2989857225,https://openalex.org/W2920908316"
4,https://openalex.org/W2916772745
5,https://openalex.org/W2969940692
6,"https://openalex.org/W3014501446,https://openalex.org/W2936450738"
7,"https://openalex.org/W2956733809,https://openalex.org/W2905314874,https://openalex.org/W2909942901,https://openalex.org/W2921149352,https://openalex.org/W2923427150,https://openalex.org/W2956733809"
8,https://openalex.org/W2986457312
9,https://openalex.org/W3100968477
10,"https://openalex.org/W3092026988,https://openalex.org/W2902237058,https://openalex.org/W2963255299,https://openalex.org/W2964930724,https://openalex.org/W2989857225,https://openalex.org/W2997258543,https://openalex.org/W3015000011,https://openalex.org/W3099909056,https://openalex.org/W3104693082"
11,"https://openalex.org/W3014468003,https://openalex.org/W3100968477"
12,"https://openalex.org/W2963255299,https://openalex.org/W2904668855,https://openalex.org/W2946882019,https://openalex.org/W2963255299"
13,https://openalex.org/W3099909056
14,"https://openalex.org/W3104693082,https://openalex.org/W3100968477"
15,https://openalex.org/W2946287558
16,"https://openalex.org/W3110648948,https://openalex.org/W2914828997"
17,https://openalex.org/W2909984890
18,"https://openalex.org/W3011282527,https://openalex.org/W2905216752,https://openalex.org/W2908893700,https://openalex.org/W2909984890,https://openalex.org/W2939407418,https://openalex.org/W2969940692,https://openalex.org/W2981746872,https://openalex.org/W2987824351,https://openalex.org/W2994738938"
19,https://openalex.org/W2908893700
20,https://openalex.org/W2904758662
21,https://openalex.org/W2902237058
22,"https://openalex.org/W2949265864,https://openalex.org/W3100968477"
23,"https://openalex.org/W2998910704,https://openalex.org/W2905314874,https://openalex.org/W2907976315,https://openalex.org/W2910150546,https://openalex.org/W2938103156,https://openalex.org/W2955549366,https://openalex.org/W2965947474,https://openalex.org/W2980681842"
24,"https://openalex.org/W3011495205,https://openalex.org/W2916328238"
25,https://openalex.org/W3000107000
26,https://openalex.org/W2944939833
27,https://openalex.org/W3024645822
28,https://openalex.org/W2963193426
29,"https://openalex.org/W3000372487,https://openalex.org/W2902237058,https://openalex.org/W2910299590,https://openalex.org/W2912583246"
30,https://openalex.org/W2999663693
31,"https://openalex.org/W2997680695,https://openalex.org/W2916772745"
32,"https://openalex.org/W3190884587,https://openalex.org/W2904668855,https://openalex.org/W2915831883,https://openalex.org/W2959903407,https://openalex.org/W2960548043,https://openalex.org/W3038687758"
33,"https://openalex.org/W3128493803,https://openalex.org/W2902269458,https://openalex.org/W2910150546,https://openalex.org/W2944607176,https://openalex.org/W2946287558,https://openalex.org/W2986594135,https://openalex.org/W2987739430,https://openalex.org/W3027878819,https://openalex.org/W3037030378"
34,https://openalex.org/W3130594877
35,"https://openalex.org/W3188169536,https://openalex.org/W2925299697,https://openalex.org/W3039558631,https://openalex.org/W3082058908"
36,"https://openalex.org/W4226546282,https://openalex.org/W2926423010,https://openalex.org/W2946287558,https://openalex.org/W3099909056,https://openalex.org/W3128150297"
